
[Atlas_info]
/atlas/playa_atlas.png
2048 768
64 64
30 30
[ID_Matrix]
272 c 273 c 272 c 273 c 272 c 273 c 272 c 273 c 272 c 273 c 272 c 273 c 272 c 273 c 272 c 273 c 272 c 273 c 272 c 273 c 272 c 273 c 272 c 273 c 272 c 273 c 272 c 273 c 272 c 273 c
304 c 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 c 
272 c 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 c 
272 c 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 c 
304 c 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 c 
304 c 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 c 
272 c 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 c 
272 c 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 c 
304 c 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 c 
304 c 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 c 
272 c 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 c 
272 c 273 n 272 n 273 n 272 n 273 n 272 n 273 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 c 
304 c 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 c 
304 c 305 n 304 n 305 n 304 n 305 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 c 
272 c 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 c 
272 c 273 n 272 n 273 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 c 
304 c 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 n 304 n 305 c 
304 c 305 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 c 
272 c 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 n 272 n 273 c 
304 c 305 c 304 c 305 c 304 c 305 c 304 c 305 c 304 c 305 c 304 c 305 c 304 c 305 c 304 c 305 c 304 c 305 c 304 c 305 c 304 c 305 c 304 c 305 c 304 c 305 c 304 c 305 c 304 c 305 c 
